EXT1,EXT2,EXT3,EXT4,EXT5,EXT6,EXT7,EXT8,EXT9,EXT10,EST1,EST2,EST3,EST4,EST5,EST6,EST7,EST8,EST9,EST10,AGR1,AGR2,AGR3,AGR4,AGR5,AGR6,AGR7,AGR8,AGR9,AGR10,CSN1,CSN2,CSN3,CSN4,CSN5,CSN6,CSN7,CSN8,CSN9,CSN10,OPN1,OPN2,OPN3,OPN4,OPN5,OPN6,OPN7,OPN8,OPN9,OPN10,EXT1_E,EXT2_E,EXT3_E,EXT4_E,EXT5_E,EXT6_E,EXT7_E,EXT8_E,EXT9_E,EXT10_E,EST1_E,EST2_E,EST3_E,EST4_E,EST5_E,EST6_E,EST7_E,EST8_E,EST9_E,EST10_E,AGR1_E,AGR2_E,AGR3_E,AGR4_E,AGR5_E,AGR6_E,AGR7_E,AGR8_E,AGR9_E,AGR10_E,CSN1_E,CSN2_E,CSN3_E,CSN4_E,CSN5_E,CSN6_E,CSN7_E,CSN8_E,CSN9_E,CSN10_E,OPN1_E,OPN2_E,OPN3_E,OPN4_E,OPN5_E,OPN6_E,OPN7_E,OPN8_E,OPN9_E,OPN10_E,screenw,screenh,introelapse,testelapse,endelapse,country,lat_appx_lots_of_err,long_appx_lots_of_err,\
3,4,4,4,5,2,3,4,2,4,4,3,4,2,3,4,4,4,4,5,2,5,3,4,2,4,2,4,3,3,4,2,4,3,4,3,5,2,5,4,4,2,4,2,3,1,4,4,5,4,157946,1608,2248,2624,4520,2953,6400,2057,21289,3456,3824,6983,1639,13976,4167,1865,2257,2609,1792,1551,3560,2552,2704,1663,3415,8488,3648,2647,2544,2744,3240,2968,4224,2081,3201,4280,2895,10631,2424,2360,1936,3377,23441,3048,7768,2695,3448,2559,2560,1609,1366,768,4,372,29,US,36.7646,-76.199,\
3,3,3,3,4,3,4,3,3,4,3,3,4,3,2,3,4,3,3,4,2,4,3,4,3,3,3,3,4,4,4,3,4,4,3,3,3,3,3,3,4,3,5,3,4,1,4,3,4,5,14223,2670,2994,2372,3284,3391,2969,2311,2982,2547,2598,3003,2487,3935,3249,2915,1640,2242,2599,5212,5947,3880,4418,1959,3795,1634,3538,3506,2037,2397,6178,3694,2099,2723,3390,2866,2738,2274,1898,1519,2790,5606,3264,2145,2026,2667,2360,2593,3886,1338,320,568,16,162,16,US,38,-97,\
2,1,4,5,4,5,3,5,1,4,5,2,5,1,5,4,4,4,5,4,5,3,2,5,2,5,3,5,4,5,3,3,5,4,2,5,4,3,4,3,4,3,5,3,3,1,3,3,5,5,7173,2926,2935,3651,4404,2713,7017,3163,4920,6317,2088,7802,2617,3557,3852,26919,3203,2073,2248,1862,5755,3980,2514,3260,7894,3182,3608,3369,3908,3631,3861,5219,5333,2815,3504,4164,2096,4426,3712,6985,4456,3983,10739,4196,5070,3164,3196,4934,2918,1926,1366,768,4,232,19,CA,43.2365,-79.8338,\
4,1,5,1,5,1,4,1,5,1,1,5,1,5,4,2,1,1,2,2,1,5,3,5,1,3,1,5,4,4,2,5,3,3,1,4,3,5,2,3,4,2,3,2,5,4,5,3,5,5,11532,2258,2649,2707,3225,17580,5508,2810,2568,6250,2610,2295,2397,2709,2637,5762,5977,7968,3080,2648,3933,2058,6957,2165,4122,1032,2818,6880,2635,2136,1434,5137,3557,3926,2420,4150,4164,4247,7808,38907,3197,2540,2756,8687,6090,6774,2069,8392,7448,2293,1920,1080,39,257,15,NO,59.95,10.75,\
1,3,3,3,3,3,2,4,2,4,5,2,5,1,3,5,5,5,5,5,3,5,4,4,2,4,2,5,4,3,4,3,4,4,2,2,4,3,3,4,4,1,5,1,4,2,5,4,3,3,2680,4181,2083,2655,1997,3210,2164,3933,2860,1643,1967,2890,4996,1768,5133,3185,1643,1954,1404,1343,4653,2340,604,2445,1881,4024,2814,606,2133,4703,2018,2918,1429,1591,5092,3473,4610,7326,2422,1097,1568,10483,1675,3918,3541,1237,3293,1872,1979,4196,1280,720,10,146,6,US,43.632,-116.2838,\
3,4,2,2,4,2,4,3,3,2,3,1,5,1,4,1,2,2,2,1,2,4,1,4,2,4,2,4,2,3,4,2,5,3,4,1,5,1,5,5,2,2,4,1,5,1,5,2,4,4,3588,2575,1189,2931,3449,1698,3793,2880,1860,1234,1713,1545,871,1734,2222,1130,1844,3209,2194,1457,1732,1692,2165,3368,1570,2100,1460,1261,1889,1049,1159,2296,1783,898,1879,1997,1179,1719,3072,4018,2436,4695,1195,15751,1204,1223,1662,1451,1557,1383,1368,912,32,115,9,US,43.1548,-77.6156,\
2,5,2,4,1,4,1,4,3,5,5,1,4,1,3,3,4,4,4,4,2,3,2,4,2,4,2,2,3,2,2,4,3,3,1,4,3,4,3,2,5,2,5,2,2,1,4,5,2,2,17311,6110,3387,3026,3508,5538,3686,6195,3482,3306,8790,4418,3724,2925,7282,3957,5506,5213,2235,4627,4531,3181,4065,4223,3390,2637,3360,2608,3919,3347,1033,5097,6563,3162,4490,3367,4705,3120,5865,3308,5191,6984,2861,4804,4166,2326,2630,3669,5061,3484,360,640,5,223,11,US,38,-97,\
2,3,3,1,3,2,2,4,2,3,2,2,5,3,1,3,2,2,2,3,5,3,1,5,1,5,1,3,5,3,5,1,5,1,3,2,2,1,5,4,3,4,5,4,3,1,4,1,4,3,27344,2924135,7672,4935,5986,4418,14046,36614,8318,9948,20928,17732,9132,8512,6030,5208,3717,4503,2751,10608,9656,862,2476,4070,3759,3919,3663,6992,2717,41545,1535,21076,6019,2460,7853,6512,11443,124744,3224,85682,6101,9151,39776,10410,4908,4716,5733,4502,10035,2534,360,640,11,3586,13,SG,1.2931,103.8558,\
1,2,5,4,5,3,4,4,2,2,2,2,3,5,2,1,1,1,2,1,3,4,3,1,2,1,2,4,2,5,4,3,5,4,5,3,5,3,4,4,3,3,1,1,3,4,5,3,2,4,14325,6025,7825,11789,4449,3396,7175,11221,9729,11415,4042,10968,8509,5702,31446,5798,2598,8788,11943,19630,21655,4549,4955,5749,8711,3095,4047,6918,9987,5321,10639,8824,6170,9963,6866,8960,3823,6334,10327,84210,13324,13002,10079,7837,4993,7954,4470,12447,6837,3054,1324,745,3,514,21,US,41.5382,-72.807,\
1,2,2,4,3,2,4,5,2,5,5,1,5,1,4,5,4,4,4,5,1,4,4,5,1,5,2,5,5,5,3,4,5,5,3,5,4,3,3,5,3,1,3,1,4,2,4,2,5,5,4072,5095,2299,2313,2011,4230,2430,2282,2808,2217,2237,2325,1563,2077,2953,1837,2251,2047,1779,1912,2337,2620,1793,910,2169,1820,3364,2953,2599,2105,2063,3322,2175,1719,2314,2701,2902,3368,1973,4314,2293,3983,2877,2462,2728,2371,2841,2108,2148,1053,360,640,3,127,6,US,38,-97,\
1,4,1,4,2,2,1,5,1,5,4,4,5,3,2,2,2,2,2,3,3,3,3,3,3,2,3,3,2,3,3,4,4,4,4,4,3,3,2,4,4,2,4,1,3,2,5,4,4,4,7604,8772,9605,16710,4326,6600,4738,6621,4988,6771,790,10620,6128,5342,6577,5510,4380,4779,10777,5531,5213,5387,4113,1141,13913,14815,4413,4609,4354,5285,5287,4646,4732,4716,1733,1538,4960,7775,6222,10062,4787,2306,6370,4245,6942,5192,5695,10284,1094,2926,360,640,39,304,6,US,32.7026,-103.136,\
5,1,5,5,5,4,5,5,5,1,1,5,5,3,4,3,3,3,2,2,3,5,1,5,1,5,1,5,5,5,5,1,5,2,1,2,5,1,5,5,2,4,4,1,5,1,5,1,5,5,1878,5190,2152,1970,1590,2873,4342,1946,1148,15135,6080,2320,6287,2262,3297,3330,3816,4158,2101,2301,9339,1722,1710,1456,3442,3097,2272,2217,1044,9584,15008,1516,10241,7520,3068,2962,1780,12356,1098,852,2834,7174,1734,3474,1044,2872,2312,3330,1873,8564,1280,800,12,211,10,US,38,-97,\
2,3,3,2,2,1,1,4,2,3,4,2,4,2,4,3,4,3,4,2,2,3,3,3,2,4,2,3,4,3,4,4,4,2,1,4,3,1,1,3,5,3,2,3,4,3,4,4,3,4,5554,3449,3508,1784,3871,2467,674,3101,2368,3644,2250,875,2257,1985,2365,3439,2056,1670,2361,1889,2462,3059,3721,6919,2077,5154,2025,4512,4872,2433,3567,6371,4702,3786,2851,3467,3104,3458,764,1996,1988,5705,1485,3740,2414,4639,3877,2215,2952,1767,375,667,11,155,7,KR,37.57,126.98,\
1,5,3,5,1,3,1,5,1,3,4,4,5,2,5,4,5,4,4,4,3,5,5,4,4,2,4,4,4,2,2,3,5,5,1,3,5,5,2,2,4,2,4,1,4,2,3,3,5,5,2772,1984,5054,2770,1768,3420,3553,2100,5320,4936,9774,5457,1115,5186,1900,1917,2568,3170,1434,1450,3050,2987,1018,3538,4770,3171,3317,2584,3237,2986,5004,4168,2218,2234,2136,4586,2003,3886,4869,6172,6939,3649,734,2635,3567,4087,2153,1968,2353,1468,2048,1152,5,166,6,US,35.6528,-97.4781,\
4,2,3,3,4,2,3,4,5,2,4,2,4,1,4,2,3,2,2,3,1,5,1,5,1,5,1,5,4,5,1,1,5,4,2,5,4,4,1,1,3,1,5,1,5,1,5,3,5,5,16515,40867,17279,2245,4486,3729,5734,4530,19400,2032,2290,3280,2117,2937,25338,2357,5119,3778,4891,1888,3386,1681,1789,2062,3670,2007,3384,4577,7318,3573,4013,5113,2538,2375,2391,3157,14047,16834,1380,19477,2245,5221,2137,2676,2382,2146,6037,8421,2879,1264,1920,1200,4,313,10,BE,50.85,4.35,\
2,3,4,4,2,2,2,4,2,4,2,3,2,2,2,2,2,2,4,4,2,4,2,4,2,4,2,4,4,4,2,4,2,4,2,2,4,4,2,2,5,2,4,2,4,2,4,4,4,4,4060,1810,3934,1502,1347,1708,3563,7210,2608,1061,614004,5643,1570,1947,909,4886,1493,1908,753,1015,3405,1725,5126,1262,3486,3509,1794,1023,901,1423,3934,3317,4687,1192,1346,4410,4026,7094,4693,1493,2793,2432,1307,1432,1263,11517,7318,2539,2570,670,1366,768,10,758,8,US,38,-97,\
1,4,3,5,2,3,1,2,4,3,3,4,5,2,3,2,4,3,4,2,4,3,3,4,2,3,3,3,4,3,4,2,4,4,3,4,4,2,3,3,2,2,3,3,2,3,5,2,3,2,9195,4505,3178,3008,3801,2705,6416,6155,4616,9808,4535,3035,3192,21239,3002,2766,2222,2601,4878,4676,3227,2594,3852,4067,10377,2467,4817,3753,4502,9402,3530,4415,3613,3694,4705,4615,2760,2741,10757,1348,2951,6276,3290,1418,2708,3853,2364,4947,989,2436,360,640,12,230,14,IN,28.4667,77.0333,\
2,4,3,4,2,5,2,4,4,5,4,4,5,3,4,4,3,2,4,4,4,4,3,3,4,4,4,4,4,4,2,2,4,3,3,5,4,4,1,2,3,3,5,4,5,2,4,3,4,5,30630,4363,4646,3569,5504,3759,4688,2166,2696,1831,2052,2378,3027,2253,1940,4582,3676,3555,3306,1916,4584,2409,2007,3302,4870,1892,2561,3783,9127,5245,17439,4100,1812,2431,4149,3276,2040,1986,2912,2633,3489,4468,1733,2213,3096,23283,2273,2819,4628,1199,375,667,17,227,9,IN,28.6667,77.2167,\
4,5,3,3,2,4,5,4,5,2,5,4,5,2,5,5,5,5,4,4,5,4,1,4,1,5,2,5,5,5,2,2,4,2,3,4,4,3,3,4,1,2,5,1,4,1,4,2,4,5,21113,3827,28597,819,24079,4752,9269,13387,5324,8297,4097,5626,1607,55919,2705,6548,3170,2551,2763,31436,3811,3604,7871,1016,5919,2750,6844,7898,3474,3213,13780,10652,16379,9533,4415,7399,2887,4019,4924,19740,4326,11010,31444,4482,5733,5353,4395,3862,8189,9902,375,667,7,469,20,IN,33.8042,74.2583,\
3,4,3,4,2,4,2,4,2,4,3,5,3,3,4,3,4,3,4,3,2,4,2,5,3,4,3,4,4,4,3,1,5,3,3,3,4,3,3,3,3,2,4,2,4,3,4,3,4,4,20285,2773,9288,4006,3765,2570,3634,2123,2502,1720,2319,4302,4267,2049,4183,3023,4983,3820,4178,1366,5789,5415,2888,3284,4469,1286,3634,5817,3119,6936,9605,4072,4485,3550,5023,4565,2524,2851,3217,952,5184,6283,3150,2872,2132,2447,1315,4149,5757,3545,375,667,10,210,14,IN,20,77,\
1,4,1,4,2,2,1,3,2,4,2,3,3,4,3,2,4,2,5,2,4,1,5,1,4,1,4,2,1,2,3,4,4,3,2,3,3,4,2,3,4,2,4,2,5,2,4,4,4,5,5835,7589,5367,6073,8198,4840,4161,6807,4198,2649,6277,3882,6691,6675,4246,6245,4760,7361,4287,3805,2620,2789,2371,4082,3971,3307,3587,3959,3747,2674,4193,4447,4369,3518,22121,10094,4069,4600,4214,2849,3365,3352,3756,7779,4249,3404,5376,4021,3946,2455,360,640,4,250,7,US,38,-97,\
4,1,3,3,3,1,3,4,2,4,4,2,3,2,3,2,3,2,2,2,2,4,4,3,3,4,2,4,3,5,1,4,5,5,1,4,3,3,1,3,4,4,5,4,3,1,3,3,2,2,2984,3041,64353,4667,29375,5721,2202,3300,4711,12035,4695,29381,3138,7245,2492,3636,153165,5601,10009,3498,3986,1647,2138,338868,158188,3741,3736,3047,3906,3029,4150,2827,2295,2147,3786,5485,3815,3489,35934,4801,1759,44440,2536,8708,2711,2772,13702,2987,28223,2270,1280,1024,2,1057,11,PT,38.7167,-9.1333,\
4,2,4,2,4,2,5,4,2,3,1,3,3,5,3,1,1,1,1,1,1,5,3,5,1,4,1,5,5,5,4,3,5,2,2,1,3,1,4,5,5,2,5,1,4,1,4,1,5,5,22606,2920,1841,2704,1651,1372,4298,3602,4462,2790,2998,2704,2308,1629,3192,2564,3858,1424,2564,1471,1477,2000,3262,1981,2291,3911,1604,3578,2152,2834,2246,10140,2006,2230,3694,4701,2756,21224,2658,1294,10402,3361,1898,3578,2354,1736,1658,3192,2330,1075,1680,1050,2,183,8,US,28.0836,-80.6081,\
2,4,3,3,2,3,2,5,2,5,5,2,5,3,3,4,4,4,3,2,1,4,4,4,2,5,2,4,4,4,3,2,4,2,3,2,3,1,4,3,3,2,3,2,3,2,3,3,5,3,3621,1932,2383,2051,2451,2717,2635,2287,4085,1568,1699,5982,2050,2237,4201,1936,1916,1469,2319,1750,3834,2935,2303,2135,3387,1851,3251,3565,1698,2797,2670,4420,3001,4747,3999,3901,1702,8952,2052,2922,2435,8936,2535,3633,2452,3965,4551,1750,2567,2065,1920,1080,23,153,7,US,39.4553,-74.9608,\
3,1,5,2,4,2,4,2,4,2,5,2,5,2,2,4,4,4,4,3,1,5,3,5,2,5,1,4,5,4,3,5,3,4,2,4,3,1,4,3,3,2,4,3,3,2,4,3,4,3,4128,1936,3711,2496,1824,2760,2488,6728,2136,3984,2823,2040,1536,3112,2664,2288,2504,3376,2640,1051,1888,648,1744,2336,2232,4984,2495,1192,3344,10289,1440,3264,2376,3576,1200,1872,2784,2936,1672,4816,1168,2360,3392,4728,5072,2136,1672,3216,2440,893,1600,900,13,141,12,US,37.5858,-77.4888,\
5,2,5,5,5,5,5,2,5,5,5,3,5,1,5,5,5,5,5,5,5,5,1,5,1,5,1,5,5,5,5,4,3,4,5,5,5,1,5,5,5,1,5,1,5,1,5,1,5,5,4362,3916,4181,2163,1575,6638,1870,3801,2164,987,1177,4684,5165,4294,3098,968,1050,2248,945,1333,3466,2467,2016,1324,2216,945,2552,2951,8452,2583,798,4979,3024,1828,3584,1313,1606,3668,6520,977,737,5108,1524,1166,1292,1951,1260,2215,946,819,1600,900,2,132,13,CA,43.6667,-79.4167,\
5,4,3,2,3,4,3,3,2,4,3,5,4,4,5,3,5,2,5,2,5,4,3,2,4,3,4,3,3,3,4,3,3,3,4,4,4,2,4,3,3,4,4,4,5,3,5,1,5,2,9271,633,1047,1025,962,768,607,939,780,1121,852,768,878,975,537,682,622,548,1109,718,887,1244,463,524,732,854,537,560,780,1280,622,538,414,914,806,4618,768,816,951,659,1328,1779,560,586,1558,695,5620,817,609,586,1366,768,5,152,4,RO,46.7667,23.6,\
1,2,2,3,5,1,3,3,5,4,3,5,5,4,3,5,3,4,4,4,1,5,1,5,1,5,1,5,5,4,5,1,5,3,4,1,5,3,5,5,3,3,5,4,3,1,5,1,5,4,5148,2640,3302,2810,4954,2626,3141,3823,2211,4338,2941,2861,3025,2116,2265,1994,2326,1863,3523,2774,3414,3552,1651,3724,2144,1463,4838,3523,748,3291,2693,3346,3789,6640,2489,2493,1396,2611,3807,1879,4755,4338,1379,9376,1562,2627,2494,2775,4988,6305,1366,768,2,163,14,GB,51.3306,0.575,\
3,5,2,4,1,4,1,5,1,5,4,3,5,2,2,2,3,2,3,2,1,3,1,5,1,4,3,5,5,4,4,2,4,2,3,2,4,3,4,3,4,1,4,1,3,1,4,2,4,3,3583,2807,2366,2179,2067,2376,1937,2601,1849,1655,3566,3854,3206,2504,2373,2907,1982,1534,1543,1403,2499,2362,4203,2349,2073,1948,2106,681,1767,1674,2456,2133,2100,2066,2283,2908,4538,2604,2116,3795,1193,4762,625,2145,2821,1188,2379,2233,2776,1444,1600,900,4,120,8,US,36.175,-115.1372,\
5,3,5,1,5,1,5,3,3,1,5,1,5,1,5,5,5,1,1,1,5,5,1,5,1,5,1,5,5,5,1,3,5,3,5,3,5,1,5,3,1,1,5,1,1,1,3,1,5,3,10402,3806,3548,5126,2752,3087,4302,4777,5095,4276,4946,3364,2568,8566,2691,4179,2952,2755,3086,4802,3760,3752,3594,4030,4003,3254,4198,2676,2976,2952,3900,4937,3368,3273,4578,5801,3372,3235,3769,10422,4160,5664,3234,7203,5884,3992,3252,11969,4226,3452,375,667,6,225,13,JO,31.95,35.9333,\
3,2,4,3,4,2,1,3,3,2,1,4,4,2,5,2,3,1,4,1,1,4,2,5,2,4,3,5,5,4,4,4,4,4,1,5,4,3,2,4,3,2,4,3,5,2,5,3,5,4,2902,3344,2832,3424,3671,3855,10128,3039,3176,6231,2777,2384,3576,5360,3745,2840,832,3648,3272,2896,6199,9112,1488,992,5209,3433,3480,2408,1655,3488,8399,1920,3184,5592,3479,3280,3384,3120,3208,2504,3799,8136,2632,3712,4000,4208,2456,4193,5305,2040,1920,1080,4,193,16,CA,43.6858,-79.7602,\
4,2,3,2,4,2,3,4,5,3,5,1,4,1,1,3,5,5,5,5,4,4,3,3,5,2,3,4,4,4,5,1,4,1,4,1,5,3,4,5,5,1,5,3,4,1,4,5,5,5,15245,4448,5904,2895,1648,1914,3231,4641,2488,2784,1624,3008,1399,2135,2616,2648,713,2112,1920,1360,8647,1224,9704,3233,3631,1768,13912,3103,2872,2872,880,4008,2984,3504,3585,4065,2008,3040,2160,1176,1984,2656,2913,3553,2325,3712,2879,1432,1464,1968,1360,768,78,169,9,US,38.8003,-90.6265,\
2,3,3,5,4,3,4,2,3,4,5,2,3,3,5,5,4,4,4,5,4,3,3,4,2,4,3,3,5,2,3,1,4,3,2,2,4,3,2,3,5,2,5,3,4,1,4,4,4,5,28344,10684,5553,7325,4776,5582,6824,19739,10576,9506,13911,7509,12960,5886,7025,4617,4471,10384,5089,6198,7404,5365,9340,11688,11183,4869,6679,15586,6937,9790,4732,10014,7169,7788,6521,7802,3946,9298,18696,7505,5689,9402,11230,5522,4965,5332,6411,8130,5917,3614,320,533,10,428,21,JO,31,36,\
4,3,3,4,3,2,2,4,2,1,2,2,5,1,3,4,3,3,4,4,2,4,1,5,4,3,1,3,5,5,2,3,3,3,2,1,3,3,3,3,3,3,5,1,3,1,4,3,5,4,10165,7031,3546,14126,3593,5963,9338,6724,4077,8460,8818,3890,3760,23154,6122,6688,2821,4933,12780,5971,8980,5306,5450,4409,7594,3715,4301,13021,4946,16134,6725,3952,3681,3187,3394,6830,4570,12726,3026,3236,4808,4856,4564,4314,3334,5716,5591,3189,4320,2903,1920,1080,17,322,16,PL,52.2333,21.0167,\
2,4,1,2,3,3,4,3,2,4,1,4,4,4,2,2,1,4,1,3,3,2,4,4,4,4,2,2,2,3,5,4,4,3,2,4,4,1,2,3,4,4,4,2,3,2,5,4,1,3,5920,3256,3750,4164,1808,4161,4221,2886,8789,3322,3113,4254,3906,3693,3232,2875,2963,3313,6288,1953,6528,4560,8152,5894,4508,4153,4128,2965,2761,3978,2656,3960,5594,2383,3334,4693,3434,9593,2112,5961,11503,3475,2287,19492,2992,3930,7341,8926,3132,1791,768,1024,480,461,14,DK,55,12.1,\
2,1,4,3,4,1,1,4,2,4,4,3,5,3,2,4,2,2,4,1,1,4,1,5,2,5,1,4,4,4,3,3,4,3,3,1,3,1,3,3,3,2,5,1,4,1,4,2,5,5,2978,1830,2190,3556,1725,1814,1462,2429,4603,1723,2438,2828,1750,2669,2789,1670,2230,2157,1271,1331,2915,1486,3380,1862,3955,1382,2374,1702,1470,1483,1654,2334,1390,1582,1382,4148,1038,1678,5993,1875,2173,2885,1118,2351,3260,2756,3308,1894,22039,6333,1024,768,4,140,28,US,41.7297,-93.6058,\
